Pop	Model	Folds	log-likelihood	AIC	chi-squared	theta	optimised_params(nu1, nu2, F1, F2, T)
AG1-AG2	iso_inbred	3	-551.02	1112.04	1040.08	242.59	2.122,25.95,0.0012,0.0455,0.3989
AG1-AG2	iso_inbred	2	-591.12	1192.24	738.18	289.88	0.8724,150.0,0.1932,0.5999,0.1628
AG1-AG2	snm	3	-1478.67	2959.34	37680476485.64	279.86	5.6491
AG1-AG2	mig_inbred	3	-622.98	1257.96	1326.21	251.14	2.353,149.9783,0.8643,0.0842,0.001,0.4138
AG1-AG2	iso_inbred	1	-1696.55	3403.1	30386.07	185.86	1.3774,0.5632,0.5923,0.8109,1.0207
AG1-AG2	iso_inbred	3	-409.33	828.66	482.6	280.57	0.0119,0.0114,0.7808,0.5217,0.001
AG1-AG2	iso_inbred	[3]	-1222.73	2455.46	5618.9	167.11	1.8812,1.8255,0.0913,0.0913,0.9127
akinallrm1-mccu	no_mig	[3]	-967.69	1941.38	1044.69	1566.12	2.7648,2.2827,0.2191	nu1, nu2, T
akinallrm1-mccu	anc_asym_mig_inbred	[3]	-968.04	1952.08	1059.75	1561.53	2.6996,2.5539,0.0619,0.0686,0.0378,0.0874,0.0613,0.1573	nu1, nu2, F1, F2, m12, m21, T1, T2
akinallrm1-mccu	aamsi	[3]	-748.31	1520.62	143.38	684.48	136.3717,0.0459,4.0582,0.6582,0.2558,0.197,0.3789,0.1202,0.2076,4.45,0.0914,1.9494	nu1, nu2, nu1a, nu2a, F1, F2, m12b, m21b, m12a, m21a, T1, T2
akinallrm1-mccu	anc_asym_mig_size	[3]	-745.46	1506.92	128.4	1044.48	3.3365,0.2831,25.4642,0.7295,0.0011,10.7334,0.8263,0.0234	nu1, nu2, nu1a, nu2a, m12, m21, T1, T2
mccu	bottleneck	[3]	-8.56	25.12	1.22	52.91	1.4372,0.001,0.1799,0.0014	nuB, nuF, TB, TF
mccu	bottleneck	[3]	-8.56	25.12	1.22	53.7	0.8693,0.001,0.001,0.0013	nuB, nuF, TB, TF
mccu	bottleneck	[3]	-8.58	25.16	1.26	208.87	0.197,0.001,20.0,0.0011	nuB, nuF, TB, TF
mccu	test	[3]	-8.56	29.12	1.22	53.75	0.1281,3.2529,0.001,0.001,0.0012,0.0013	nu1, nu2, nu3, T1, T2, T3
mccu	test	[3]	-8.55	29.1	1.21	7.66	29.9662,200.0,0.0011,13.4585,0.0067,0.002	nu1, nu2, nu3, T1, T2, T3
mccu	test	[3]	-8.56	29.12	1.21	35.23	200.0,1.6235,0.001,3.9132,19.2023,0.0014	nu1, nu2, nu3, T1, T2, T3
mccu	test	[3]	-8.56	29.12	1.22	53.69	0.1599,4.4908,0.001,0.001,0.0013,0.0013	nu1, nu2, nu3, T1, T2, T3
akinall	test	[3]	-51.37	114.74	27.05	1.77	8.6032,0.6996,0.0136,10.6458,0.0036,0.001	nu1, nu2, nu3, T1, T2, T3
akinall	test	[3]	-52.73	117.46	30.74	0.5	11.2148,84.0458,3.5386,19.8034,20.0,0.7926	nu1, nu2, nu3, T1, T2, T3
