Pop	Sample sizes	Sum of SFS	FST
AG1-AG2	[40 18]	1479.0	0.13
AG1-AG2_masked	[40 18]	909.0	0.15
AG1-AG2	[44 20]	1282.0	0.12
AG1-AG2_masked	[44 20]	803.0	0.13
AG1-AG2	[38 18]	1485.0	0.13
AG1-AG2_masked	[38 18]	917.0	0.14
AG1-AG2	[36 18]	1482.0	0.13
AG1-AG2_masked	[36 18]	896.0	0.15
AG1-AG2	[38 18]	1479.0	0.13
AG1-AG2_masked	[38 18]	918.0	0.15
AG1-AG2	[40 18]	1491.0	0.13
AG1-AG2_masked	[40 18]	925.0	0.14
AG1-AG2	[40 18]	1475.0	0.14
AG1-AG2_masked	[40 18]	913.0	0.15
AG1-AG2	[20 16]	1303.0	0.15
AG1-AG2_masked	[20 16]	708.0	0.17
AG1-AG2	[20 16]	0.0	nan
AG1-AG2_masked	[20 16]	0.0	nan
AG1-AG2	[40 18]	1482.0	0.13
AG1-AG2_masked	[40 18]	905.0	0.14
akinallrm1-mccu	[60 12]	7463.9	0.12
akinallrm1-mccu_masked	[60 12]	6113.16	0.12
akinsub-mccu	[18 14]	5648.2	0.13
akinsub-mccu_masked	[18 14]	3655.29	0.14
akinGC-mccu	[30 16]	2635.0	0.11
akinGC-mccu_masked	[30 16]	1795.0	0.12
akinGC-mccu	[28 14]	6134.52	0.12
akinGC-mccu_masked	[28 14]	4216.0	0.13
akinGC-mccu	[26 14]	6238.02	0.12
akinGC-mccu_masked	[26 14]	4230.65	0.13
akinGC-mccu	[24 14]	6163.17	0.13
akinGC-mccu_masked	[24 14]	4126.26	0.14
akinGC-mccu	[26 12]	6761.0	0.13
akinGC-mccu_masked	[26 12]	4505.02	0.14
akinGC-mccu	[24 12]	6678.11	0.13
akinGC-mccu_masked	[24 12]	4388.51	0.14
akinGC-mccu	[26 12]	6761.0	0.13
akinGC-mccu_masked	[26 12]	4505.02	0.14
akinLI-akinGC	[34 28]	6949.43	0.02
akinLI-akinGC_masked	[34 28]	5759.17	0.02
akinLI-akinGC	[38 30]	3614.0	0.02
akinLI-akinGC_masked	[38 30]	3041.0	0.02
akinLI-akinGC	[32 26]	7095.44	0.02
akinLI-akinGC_masked	[32 26]	5759.87	0.02
akinLI-akinGC	[34 28]	6949.43	0.02
akinLI-akinGC_masked	[34 28]	5759.17	0.02
akinLI-akinGC	[34 28]	6949.43	0.02
akinLI-akinGC_masked	[34 28]	5759.17	0.02
akinallrm1-mccu	[92 12]	7565.3	0.12
akinallrm1-mccu_masked	[92 12]	7159.48	0.12
akinallrm1-mccu	[80 12]	7547.62	0.12
akinallrm1-mccu_masked	[80 12]	6804.92	0.12
akinallrm1-mccu	[114  16]	0.0	nan
akinallrm1-mccu_masked	[114  16]	0.0	nan
akinallrm1-mccu	[100  16]	0.0	nan
akinallrm1-mccu_masked	[100  16]	0.0	nan
akinallrm1-mccu	[100  12]	0.0	nan
akinallrm1-mccu_masked	[100  12]	0.0	nan
akinallrm1-mccu	[96 12]	5905.25	0.12
akinallrm1-mccu_masked	[96 12]	5647.75	0.12
akinallrm1-mccu	[94 12]	7297.28	0.12
akinallrm1-mccu_masked	[94 12]	6949.77	0.12
akinallrm1-mccu	[92 12]	7565.3	0.12
akinallrm1-mccu_masked	[92 12]	7159.48	0.12
akinallrm1-mccu	[90 12]	7563.12	0.12
akinallrm1-mccu_masked	[90 12]	7102.94	0.12
akinallrm1-mccu	[90 14]	6953.85	0.11
akinallrm1-mccu_masked	[90 14]	6591.87	0.11
akinallrm1-mccu	[92 14]	6955.73	0.11
akinallrm1-mccu_masked	[92 14]	6643.19	0.11
akinallrm1-mccu	[92 12]	7565.3	0.12
akinallrm1-mccu_masked	[92 12]	7159.48	0.12
akinallrm1-mccu	[92 12]	7565.3	0.12
akinallrm1-mccu_masked	[92 12]	7159.48	0.12
